track_id,track_name,playlist_id,genre,date_album_release,timestamp_addition
1c0zagykmGPDYuxJeDqZhJ,World Hold on (Children of the Sky) [Radio Edit],0uNeN7uvvn6RTuyTA89SYN,Electronic,2006-06-06,2022-09-10T18:03:52Z
1xNcBAoUw8Hz6LqK2jt4Ff,Call on Me - Radio Mix,0uNeN7uvvn6RTuyTA89SYN,Electronic,2004-09-10,2021-11-05T20:57:09Z
4wtR6HB3XekEengMX17cpc,Children,0uNeN7uvvn6RTuyTA89SYN,Electronic,1996-07-11,2022-05-17T01:35:29Z
2YdX7PEziOImkySNDWsaKM,Rise Up - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2015-11-20,2022-09-09T00:52:33Z
7M13FwBAKWNa2jqcZeUhL6,Love Generation - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2005-06-20,2022-09-10T18:04:28Z
0ZqveF2rEFlz2oqF2xrriP,The Riddle,0uNeN7uvvn6RTuyTA89SYN,Electronic,1999,2021-11-05T20:48:14Z
71cEGt2SrA5toSCCTVpLMU,Played-A-Live (The Bongo Song) - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2000-01-01,2021-11-05T20:59:01Z
0eMVfsENqZ42yZBrIXLUG0,Pump It Up - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2004-09-20,2022-02-18T17:42:15Z
2ihVyGxIlgSXHjwFQv39l4,California Dreaming - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2015-01-16,2022-05-17T01:45:06Z
49ou9vBZLTCi4TYoYzR3F9,Calabria 2007 (feat. Natasja) - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007,2022-09-10T18:02:26Z
4539Tbm6Rt5BaNKXJJj9RH,It's My Life,0uNeN7uvvn6RTuyTA89SYN,Electronic,1992-05-04,2022-09-15T12:29:25Z
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,0uNeN7uvvn6RTuyTA89SYN,Electronic,1990-02-20,2022-10-20T19:14:59Z
0LQp6qJmYxqjd7qkMQDnqC,Remember (Original Mix),0uNeN7uvvn6RTuyTA89SYN,Electronic,2004-09-13,2022-09-15T12:33:52Z
0cNUZXAZpvtahN3FUMB19B,We like to Party! (The Vengabus) - More Airplay,0uNeN7uvvn6RTuyTA89SYN,Electronic,1998,2021-11-05T20:50:26Z
0B5kY9i9bmP7554oU4jRoO,Funkytown - Single Version,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007-01-01,2021-11-07T11:49:34Z
4L54iRvfSVTa48NxYhHBIu,Up & Down,0uNeN7uvvn6RTuyTA89SYN,Electronic,1998,2021-11-07T11:47:18Z
3FgrXi0L9lkaFJlNy5NZ0k,Sexy,0uNeN7uvvn6RTuyTA89SYN,Electronic,2008-07-18,2021-11-07T11:47:51Z
6dHTkQYY3zdR9i9Nj0IGVW,"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",0uNeN7uvvn6RTuyTA89SYN,Electronic,1994-10-10,2021-11-05T20:45:17Z
2JjDgorBAd8Er6IS5Weyok,Mr. Vain Recall - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2009-07-24,2021-11-05T20:56:10Z
6bXFXDYcwHiuvW1IDayCPA,The Summer Is Magic (Radio Mix),0uNeN7uvvn6RTuyTA89SYN,Electronic,1994-06-21,2021-11-07T11:47:29Z
0Bo5fjMtTfCD8vHGebivqc,Axel F,0uNeN7uvvn6RTuyTA89SYN,Electronic,2005-08-01,2021-11-05T20:41:32Z
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),0uNeN7uvvn6RTuyTA89SYN,Electronic,2021-01-15,2022-09-15T12:26:07Z
4dfTZexJaU46OiLItQ1k07,Put Your Hands Up - DJ Tonka Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1998-04-06,2021-11-05T20:54:11Z
623rRTKwGmgjH6sjE9uWLh,Scatman (ski-ba-bop-ba-dop-bop),0uNeN7uvvn6RTuyTA89SYN,Electronic,1995-06-01,2021-11-05T20:45:01Z
4ih3dyFZoeTdaeJW9mPbOI,Mr. Vain - Original Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1993-01-01,2021-11-05T20:48:59Z
0RD27NcbftTkhb1NlxQMGR,Sweet Dreams,0uNeN7uvvn6RTuyTA89SYN,Electronic,2020-07-03,2022-08-31T07:36:40Z
3cqZlRpC4lOnxUE7HE3N5k,Move Your Body - Gabry Ponte Original Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1999,2021-11-05T20:49:36Z
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),0uNeN7uvvn6RTuyTA89SYN,Electronic,2022-08-26,2022-11-05T20:31:57Z
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,0uNeN7uvvn6RTuyTA89SYN,Electronic,2021-02-26,2022-08-31T07:36:50Z
2LELFaNglE9B5xlcmd4qtQ,Ding Dong Song - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2005-10-11,2021-11-05T20:49:15Z
5YJtMNWKe55yr49cyJgxva,Everytime We Touch,0uNeN7uvvn6RTuyTA89SYN,Electronic,2010-02-12,2021-11-05T21:06:47Z
2PTvik6EqPAIYOclAB3SU8,All I Ever Wanted - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2008-01-15,2022-10-16T23:26:14Z
4rino0wsmUcK36Ro4CCrke,Boten Anna - Radio edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2006,2021-11-05T20:55:20Z
7voHUmPNDuYZ1SW1mwRu26,No Limit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1993-05-10,2021-11-05T20:53:21Z
2MlqP1HzhitHfFXPXKumdB,Rainbow In The Sky - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,1995-06-01,2021-11-05T20:54:59Z
2MGRnjJc7C0z3EOEWRqcMw,Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007-06-01,2022-11-05T19:48:47Z
0BRcMSaH84i330e6JCyXgO,Tomorrow Can Wait,0uNeN7uvvn6RTuyTA89SYN,Electronic,2007-06-01,2022-11-05T19:49:00Z
4PdJSsESm34djLfBde9Pr2,Would I Lie to You - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2016-09-30,2022-11-05T19:53:56Z
4IiKITgHYaHrF1zUlcTyVH,2 Times - Original,0uNeN7uvvn6RTuyTA89SYN,Electronic,1998-12-15,2022-11-05T19:56:10Z
48BTk7yMhhGGZUQp2LHWjr,Hello - Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2010-11-01,2022-11-05T20:02:57Z
5fnA9mkIfScSqHIpeDyvck,Prayer in C - Robin Schulz Radio Edit,0uNeN7uvvn6RTuyTA89SYN,Electronic,2014-05-16,2022-11-05T20:05:36Z
6Rb0ptOEjBjPPQUlQtQGbL,Hotel Room Service,0uNeN7uvvn6RTuyTA89SYN,Electronic,2009-08-31,2022-11-05T20:05:49Z
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),0uNeN7uvvn6RTuyTA89SYN,Electronic,2021-06-11,2022-11-05T20:33:02Z
0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia),0uNeN7uvvn6RTuyTA89SYN,Electronic,2012-12-07,2022-11-05T20:33:13Z
